date,close,open,high,low,volume,volume.1,turnover,total_shares,PE_TTM,PB,PS_TTM,reits_divd,EPS_TTM,pre_close,MA5,MA10,MACD,RSI,DX,next_return
2019/6/3,3598.4666,3640.6126,3672.8136,3613.1274,10072.318,123.9024,0.3691,3695.5487,11.7587,1.3823,1.1463,2.5411,0.7866,3629.7893,3647.83096,3637.03862,-54.3659086,42.28984361,17.61235301,-0.009236229
2019/6/4,3597.105,3632.5602,3636.128,3584.4612,8709.7094,109.4672,0.3192,3695.5487,11.6818,1.3732,1.1388,2.5614,0.7866,3632.0127,3633.07218,3630.20766,-54.71650867,39.67655505,22.97756161,-0.000378383
2019/6/5,3564.6778,3627.7947,3634.4536,3593.9515,8864.202,114.6342,0.3248,3697.6974,11.6927,1.3748,1.1399,2.5778,0.7861,3598.4666,3619.71138,3624.9802,-54.47626304,39.56967271,22.97756161,-0.009014805
2019/6/6,3610.7435,3601.0356,3601.0356,3557.0167,8553.4403,104.3673,0.3129,3699.2686,11.6018,1.3645,1.131,2.4913,0.7858,3597.105,3604.41028,3623.05152,-56.25400947,37.01247286,29.80797912,0.012922823
2019/6/10,3719.2759,3578.0084,3623.7301,3568.2787,9237.5061,117.3466,0.3379,3699.2686,11.7236,1.3789,1.1429,2.3224,0.7858,3564.6778,3600.60112,3624.73448,-53.33100273,42.67961635,22.612898,0.030058186
2019/6/11,3691.0957,3617.5239,3723.1419,3617.5239,14348.2806,180.8991,0.5248,3699.2686,11.9924,1.4126,1.1691,2.397,0.7858,3610.7435,3618.05376,3632.94236,-41.77528174,53.33296768,2.802244297,-0.007576797
2019/6/12,3685.3933,3706.8635,3711.8793,3683.9394,11917.8853,132.2961,0.4359,3700.0288,11.9129,1.4031,1.1613,2.4187,0.7856,3719.2759,3636.57958,3634.82588,-34.49357576,50.69821891,2.802244297,-0.001544907
2019/6/13,3654.8799,3689.5834,3697.5917,3654.2742,9633.1718,110.4599,0.3521,3700.0288,11.8914,1.4006,1.1592,2.4179,0.7856,3691.0957,3654.23724,3636.97431,-28.85033859,50.15823109,4.078731225,-0.008279551
2019/6/14,3654.8248,3690.4763,3709.6521,3650.9096,10181.7004,116.5843,0.3721,3700.0288,11.8117,1.3913,1.1515,2.4544,0.7856,3685.3933,3672.27766,3638.34397,-26.53433752,47.25767531,1.115508458,-1.51E-05
2019/6/17,3667.6185,3654.4433,3683.7743,3645.4982,7297.6678,93.0926,0.2702,3721.2758,11.9892,1.4224,1.1671,2.2794,0.7811,3654.8799,3681.09392,3640.84752,-24.4218166,47.25236147,2.457436067,0.003500496
2019/6/18,3715.9381,3661.1299,3675.6452,3638.78,7069.2266,89.4728,0.2616,3721.2038,12.0221,1.4265,1.1703,2.2836,0.7811,3654.8248,3670.76244,3644.4081,-21.46781625,48.69489424,4.19569277,0.013174653
2019/6/19,3828.5183,3761.3381,3771.347,3715.1331,12559.5715,172.5742,0.4649,3721.9567,12.1516,1.4468,1.1829,2.5327,0.781,3667.6185,3675.73092,3656.15525,-15.05422605,53.83047884,18.17411767,0.030296576
2019/6/20,3833.9383,3718.9416,3845.7912,3717.1857,16887.2073,227.727,0.6247,3722.28,12.4728,1.4846,1.2142,2.4688,0.7809,3715.9381,3704.35592,3679.29658,-0.877018619,63.09866499,30.647156,0.001415691
2019/6/21,3841.2659,3832.7321,3856.0856,3817.3068,15363.5155,199.9616,0.5682,3722.764,12.4893,1.4859,1.2158,2.455,0.7808,3828.5183,3740.1676,3706.22263,10.67283927,63.47877272,32.18655854,0.001911246
